Date,Close,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volatility_10d,volatility_20d,volatility_60d
2005-05-17,4.49228,"4.484,20","4.501,52","4.481,24",,"0,14%",0.0013922444222920335,-0.002891471733681447,-0.0034304133046569466,-0.0024734142833473397,0.003719915312160697,0.004260575959904843,0.0035948711361492515,0.0057138172446151245
2005-05-18,4.50122,"4.499,87","4.504,98","4.490,62",,"0,20%",0.0019881031733257524,0.0013922444222920335,-0.002891471733681447,-0.0034304133046569466,-0.0021520645493296343,0.004078206400441876,0.003593379928380577,0.005701513415661421
2005-05-19,4.53341,"4.507,15","4.538,23","4.503,00",,"0,72%",0.007125944552191315,0.0019881031733257524,0.0013922444222920335,-0.002891471733681447,-0.0024734142833473397,0.0035757617809449864,0.0038365698214228076,0.005766730931123435
2005-05-20,4.5324,"4.524,18","4.540,09","4.524,18",,"-0,02%",-0.00022281517132577075,0.007125944552191315,0.0019881031733257524,0.0013922444222920335,-0.0034304133046569466,0.0033671369006221794,0.003782094413628651,0.005438801845109519
2005-05-23,4.53916,"4.535,61","4.546,48","4.535,61",,"0,15%",0.0014903723838636934,-0.00022281517132577075,0.007125944552191315,0.0019881031733257524,-0.002891471733681447,0.0033597145900129658,0.003767416255376647,0.00438010997694015
2005-05-24,4.55593,"4.521,41","4.555,93","4.521,41",,"0,37%",0.003687708204067567,0.0014903723838636934,-0.00022281517132577075,0.007125944552191315,0.0013922444222920335,0.0033562502648117757,0.0037902149582885072,0.0036462272993146925
2005-05-25,4.57903,"4.539,89","4.579,03","4.532,09",,"0,51%",0.0050575041901224915,0.003687708204067567,0.0014903723838636934,-0.00022281517132577075,0.0019881031733257524,0.003505865613210493,0.003875848685494216,0.00366335318926207
2005-05-26,4.58365,"4.571,02","4.588,53","4.570,03",,"0,10%",0.0010084386645662666,0.0050575041901224915,0.003687708204067567,0.0014903723838636934,0.007125944552191315,0.0032684111031299756,0.0038266767021284034,0.0036555233547627248
2005-05-27,4.61743,"4.571,16","4.624,77","4.570,94",,"0,74%",0.00734264929099142,0.0010084386645662666,0.0050575041901224915,0.003687708204067567,-0.00022281517132577075,0.003230432829476853,0.004018522924905724,0.003613648829298819
2005-05-30,4.64779,"4.625,64","4.648,24","4.625,64",,"0,66%",0.006553564548153067,0.00734264929099142,0.0010084386645662666,0.0050575041901224915,0.0014903723838636934,0.0027991086606514487,0.004110958737994731,0.003656776381561028
2005-05-31,4.68697,"4.655,89","4.689,77","4.653,57",,"0,84%",0.008394480431306292,0.006553564548153067,0.00734264929099142,0.0010084386645662666,0.003687708204067567,0.003064707134900059,0.004131993863713221,0.0037878106012476857
2005-06-01,4.6866,"4.665,47","4.689,22","4.662,75",,"-0,01%",-7.894537517536478e-05,0.008394480431306292,0.006553564548153067,0.00734264929099142,0.0050575041901224915,0.003294736161455092,0.003957938860793862,0.00372610688437685
2005-06-02,4.67955,"4.687,31","4.687,31","4.672,83",,"-0,15%",-0.0015054214018455732,-7.894537517536478e-05,0.008394480431306292,0.006553564548153067,0.0010084386645662666,0.0035182891584611005,0.003689724676525921,0.003712334744930502
2005-06-03,4.6326,"4.657,60","4.659,07","4.632,60",,"-1,00%",-0.010083685899636064,-0.0015054214018455732,-7.894537517536478e-05,0.008394480431306292,0.00734264929099142,0.005435325306972722,0.004516449215184462,0.003915963307722381
2005-06-06,4.63627,"4.620,19","4.636,27","4.614,82",,"0,08%",0.0007918980828921898,-0.010083685899636064,-0.0015054214018455732,-7.894537517536478e-05,0.006553564548153067,0.005449736156150981,0.004487995401257525,0.0038945448619443733
2005-06-07,4.63558,"4.632,77","4.637,61","4.630,18",,"-0,01%",-0.00014883761089175122,0.0007918980828921898,-0.010083685899636064,-0.0015054214018455732,0.008394480431306292,0.005461890359748662,0.004460849058169212,0.003794069161766878
2005-06-08,4.64486,"4.629,75","4.648,69","4.626,88",,"0,20%",0.001999905843482157,-0.00014883761089175122,0.0007918980828921898,-0.010083685899636064,-7.894537517536478e-05,0.0053393220800717275,0.004398087402578588,0.003797704053374261
2005-06-09,4.6354,"4.636,31","4.646,62","4.635,40",,"-0,20%",-0.002038736689848428,0.001999905843482157,-0.00014883761089175122,0.0007918980828921898,-0.0015054214018455732,0.005451659462386722,0.0043794943144224606,0.003793647805122775
2005-06-10,4.64561,"4.635,44","4.645,61","4.635,27",,"0,22%",0.0022001924615430704,-0.002038736689848428,0.001999905843482157,-0.00014883761089175122,-0.010083685899636064,0.005025644460527461,0.00423658422967107,0.0037477459527719198
2005-06-13,4.62951,"4.647,64","4.650,82","4.629,51",,"-0,35%",-0.003471656683751809,0.0022001924615430704,-0.002038736689848428,0.001999905843482157,0.0007918980828921898,0.004697116444350201,0.004270828132104752,0.0037699393609112297
2005-06-14,4.66943,"4.628,85","4.669,43","4.628,85",,"0,86%",0.008585977592774352,-0.003471656683751809,0.0022001924615430704,-0.002038736689848428,-0.00014883761089175122,0.00473714751355525,0.0045485954978200195,0.003905416012553203
